RecordID,Date,City,State,Season,Temperature_C,Humidity_%,WindSpeed_kmph,Precipitation_mm,AirPressure_hPa,WeatherCondition
44,2024-04-30,Kolkata,West Bengal,Autumn,25.6,77,0.0,3.76,1006.1,Fog
45,2022-12-04,Bangalore,Karnataka,Autumn,25.1,80,29.0,0.85,1008.7,Haze
46,2023-06-25,Chennai,Tamil Nadu,Autumn,30.0,92,26.3,1.95,1003.0,Rain
47,2022-08-14,Lucknow,Uttar Pradesh,Autumn,26.5,75,11.3,1.11,1010.9,Haze
48,2022-12-24,Ahmedabad,Gujarat,Summer,28.9,46,14.1,0.38,1005.2,Sunny
49,2023-07-25,Kolkata,West Bengal,Winter,20.1,76,24.0,0.32,1009.6,Storm
50,2023-06-03,Bangalore,Karnataka,Autumn,24.9,73,29.9,0.75,1010.1,Storm
51,2023-03-31,Chennai,Tamil Nadu,Summer,33.7,65,19.9,0.63,1005.9,Fog
52,2023-04-15,Kolkata,West Bengal,Summer,39.0,94,8.3,0.05,1014.4,Fog
53,2022-05-17,Pune,Maharashtra,Monsoon,28.7,37,23.1,0.83,1011.4,Cloudy
54,2023-10-20,Jaipur,Rajasthan,Autumn,19.7,76,29.6,1.82,1006.9,Fog
55,2024-06-08,Kolkata,West Bengal,Autumn,24.5,88,16.8,0.41,1007.8,Fog
56,2023-05-17,Delhi,Delhi,Summer,31.3,51,1.9,0.17,1004.6,Haze
57,2024-04-16,Mumbai,Maharashtra,Monsoon,30.1,47,16.7,0.66,1007.7,Haze
58,2022-12-23,Bangalore,Karnataka,Summer,30.4,65,5.1,1.39,1013.3,Rain
59,2023-09-01,Bangalore,Karnataka,Monsoon,25.0,50,2.8,1.74,1017.8,Haze
60,2022-01-05,Kolkata,West Bengal,Autumn,26.9,73,1.7,1.29,1011.8,Cloudy
61,2023-12-23,Kolkata,West Bengal,Summer,39.0,62,20.5,3.49,1013.2,Fog
62,2023-06-02,Kolkata,West Bengal,Winter,13.6,49,23.5,1.51,1003.9,Cloudy
63,2022-01-31,Pune,Maharashtra,Summer,39.8,38,15.6,3.44,1008.1,Sunny
64,2022-08-16,Pune,Maharashtra,Autumn,26.3,72,33.8,0.23,1016.5,Fog
65,2023-03-31,Pune,Maharashtra,Autumn,30.5,81,16.0,2.18,1028.2,Rain
66,2022-06-07,Mumbai,Maharashtra,Winter,22.0,64,12.8,1.98,1011.0,Rain
67,2024-05-24,Bangalore,Karnataka,Autumn,23.1,42,19.4,0.31,1014.1,Fog
68,2023-12-18,Lucknow,Uttar Pradesh,Summer,30.4,65,26.3,0.61,1004.8,Storm
69,2022-12-28,Delhi,Delhi,Autumn,25.7,57,28.0,0.35,1017.3,Rain
70,2022-01-19,Hyderabad,Telangana,Summer,34.0,80,17.9,0.78,1001.1,Haze
71,2022-07-19,Hyderabad,Telangana,Autumn,23.3,78,4.6,0.47,1016.1,Cloudy
72,2022-08-03,Bangalore,Karnataka,Autumn,31.8,50,15.0,0.12,1010.4,Sunny
73,2023-01-07,Kolkata,West Bengal,Summer,33.5,74,26.8,0.42,1006.5,Rain
74,2022-10-01,Jaipur,Rajasthan,Winter,22.1,83,21.9,0.15,1006.0,Fog
75,2023-05-16,Delhi,Delhi,Winter,26.1,36,16.1,0.12,1016.5,Haze
76,2024-03-13,Pune,Maharashtra,Winter,23.6,46,15.8,0.65,1007.4,Fog
77,2023-08-04,Lucknow,Uttar Pradesh,Summer,32.8,40,21.6,0.01,1010.7,Cloudy
78,2023-08-12,Pune,Maharashtra,Summer,32.7,85,31.7,1.59,1006.1,Haze
79,2024-01-22,Bangalore,Karnataka,Autumn,24.8,36,6.6,0.97,1011.5,Fog
80,2023-02-16,Chennai,Tamil Nadu,Summer,38.4,66,9.3,8.37,1011.2,Cloudy
81,2022-01-29,Jaipur,Rajasthan,Monsoon,25.9,86,31.1,8.3,1006.2,Haze
82,2024-02-13,Jaipur,Rajasthan,Autumn,24.3,78,34.7,1.61,1016.6,Cloudy
83,2024-05-14,Delhi,Delhi,Autumn,27.8,92,32.2,0.05,1008.1,Haze
84,2022-03-10,Delhi,Delhi,Winter,20.9,77,5.0,0.36,1012.3,Sunny
85,2022-02-03,Kolkata,West Bengal,Summer,34.7,66,9.3,2.12,1017.8,Rain
86,2023-01-23,Kolkata,West Bengal,Autumn,20.7,93,29.4,0.74,1015.0,Cloudy
87,2024-03-09,Ahmedabad,Gujarat,Monsoon,25.9,81,31.0,3.42,1000.6,Cloudy
88,2022-02-10,Lucknow,Uttar Pradesh,Summer,33.5,35,6.1,0.93,1008.8,Rain
89,2022-05-30,Mumbai,Maharashtra,Monsoon,24.4,66,20.1,1.72,1008.5,Cloudy
90,2022-01-24,Bangalore,Karnataka,Summer,35.5,63,6.1,0.85,1006.6,Fog
91,2024-06-15,Delhi,Delhi,Monsoon,27.7,49,34.2,9.27,1003.3,Rain
92,2024-01-23,Ahmedabad,Gujarat,Monsoon,32.3,45,2.3,2.4,1016.1,Fog
93,2024-04-20,Lucknow,Uttar Pradesh,Autumn,28.8,68,34.0,1.46,998.7,Storm
94,2022-03-19,Lucknow,Uttar Pradesh,Monsoon,29.2,47,16.7,0.05,1002.4,Fog
95,2024-04-30,Mumbai,Maharashtra,Summer,31.2,47,16.4,0.61,1014.6,Fog
96,2023-01-21,Lucknow,Uttar Pradesh,Summer,31.1,90,11.2,4.16,1007.7,Sunny
97,2022-11-13,Mumbai,Maharashtra,Autumn,32.5,61,26.4,0.62,1005.8,Haze
98,2023-12-22,Kolkata,West Bengal,Summer,37.0,82,4.6,0.02,1012.7,Cloudy
99,2022-02-08,Chennai,Tamil Nadu,Summer,33.7,48,23.5,1.16,1015.2,Sunny
100,2023-04-13,Pune,Maharashtra,Autumn,22.8,72,0.2,0.66,1011.6,Sunny
101,2022-05-08,Lucknow,Uttar Pradesh,Winter,28.0,65,23.6,0.86,1017.4,Haze
102,2023-11-22,Delhi,Delhi,Summer,39.3,40,12.3,1.94,1007.7,Fog
103,2023-06-27,Delhi,Delhi,Summer,30.7,66,27.1,0.56,1004.2,Cloudy
104,2023-11-18,Ahmedabad,Gujarat,Autumn,24.8,48,26.9,0.37,1009.3,Storm
105,2024-01-26,Ahmedabad,Gujarat,Autumn,26.5,49,5.0,0.47,1000.7,Sunny
106,2023-04-13,Ahmedabad,Gujarat,Winter,24.4,81,8.1,0.23,1017.5,Fog
107,2024-04-22,Pune,Maharashtra,Autumn,26.7,53,10.7,1.8,1025.0,Fog
108,2023-06-18,Bangalore,Karnataka,Winter,13.9,48,16.7,0.13,1011.7,Haze
109,2023-01-17,Mumbai,Maharashtra,Autumn,24.6,92,15.1,0.52,1019.8,Haze
110,2022-11-25,Hyderabad,Telangana,Autumn,22.5,36,22.5,1.4,1000.9,Fog
111,2023-12-29,Kolkata,West Bengal,Autumn,26.4,77,22.3,0.91,1011.2,Rain
112,2023-07-20,Lucknow,Uttar Pradesh,Autumn,25.6,68,14.9,1.52,1007.0,Haze
113,2023-08-27,Bangalore,Karnataka,Monsoon,30.0,46,13.8,1.43,1015.5,Rain
114,2022-03-01,Hyderabad,Telangana,Winter,16.0,44,4.6,0.23,1022.1,Sunny
115,2022-02-01,Ahmedabad,Gujarat,Monsoon,28.7,67,12.5,0.46,1018.1,Fog
116,2024-04-12,Kolkata,West Bengal,Summer,39.4,55,6.2,0.85,1013.3,Cloudy
117,2022-12-12,Delhi,Delhi,Summer,31.6,40,20.4,0.49,1013.9,Storm
118,2023-02-18,Bangalore,Karnataka,Autumn,21.6,52,29.6,1.69,1011.8,Fog
119,2023-06-04,Bangalore,Karnataka,Winter,18.9,75,22.7,0.23,1017.8,Fog
120,2023-11-24,Chennai,Tamil Nadu,Autumn,27.3,47,18.4,0.03,1014.8,Rain
121,2023-11-23,Pune,Maharashtra,Winter,24.5,60,24.5,0.91,1005.8,Sunny
122,2023-09-09,Hyderabad,Telangana,Monsoon,28.9,59,18.4,0.4,1011.5,Rain
123,2024-05-25,Jaipur,Rajasthan,Summer,36.7,41,6.7,0.22,1007.5,Rain
124,2022-11-26,Lucknow,Uttar Pradesh,Autumn,28.5,88,1.4,0.62,999.4,Sunny
125,2023-04-17,Lucknow,Uttar Pradesh,Summer,40.6,53,23.6,0.25,1021.0,Fog
126,2022-01-15,Ahmedabad,Gujarat,Winter,17.0,44,30.7,0.59,1015.8,Rain
127,2024-04-06,Lucknow,Uttar Pradesh,Summer,42.2,63,4.4,0.14,1006.1,Haze
128,2022-08-23,Ahmedabad,Gujarat,Summer,39.5,65,32.9,0.48,1013.8,Haze
129,2022-09-02,Mumbai,Maharashtra,Monsoon,28.4,47,32.1,0.37,1005.0,Storm
130,2022-12-22,Kolkata,West Bengal,Monsoon,26.6,64,19.8,11.77,1014.5,Haze
131,2022-09-07,Bangalore,Karnataka,Summer,38.3,62,21.7,0.82,1012.8,Rain
132,2022-11-13,Chennai,Tamil Nadu,Winter,19.9,49,0.4,0.09,1009.0,Storm
133,2024-01-26,Pune,Maharashtra,Summer,27.6,93,21.5,0.76,1007.2,Sunny
134,2022-02-01,Ahmedabad,Gujarat,Autumn,29.5,71,21.3,0.07,1009.8,Cloudy
135,2022-07-05,Ahmedabad,Gujarat,Winter,11.1,53,32.9,0.25,1010.2,Fog
136,2024-04-05,Bangalore,Karnataka,Summer,36.0,80,7.6,2.35,1022.0,Rain
137,2024-03-29,Bangalore,Karnataka,Autumn,24.6,36,22.8,0.16,1019.7,Sunny
138,2022-09-11,Pune,Maharashtra,Monsoon,28.3,73,11.2,16.18,1018.4,Cloudy
139,2022-12-10,Chennai,Tamil Nadu,Summer,26.8,52,21.7,0.29,1011.4,Sunny
140,2024-01-26,Chennai,Tamil Nadu,Summer,32.5,53,9.4,1.65,1010.6,Rain
141,2024-01-04,Lucknow,Uttar Pradesh,Winter,13.9,65,11.5,1.66,1030.9,Cloudy
142,2023-01-30,Jaipur,Rajasthan,Monsoon,29.0,39,32.3,1.31,998.9,Storm
143,2022-01-07,Ahmedabad,Gujarat,Monsoon,27.5,39,0.5,2.16,1014.4,Sunny
144,2022-12-25,Pune,Maharashtra,Monsoon,29.1,41,6.1,1.67,997.2,Storm
145,2024-04-11,Chennai,Tamil Nadu,Summer,29.0,35,24.1,0.29,1011.7,Sunny
146,2024-05-10,Hyderabad,Telangana,Winter,31.1,68,13.0,0.44,994.9,Haze
147,2024-03-30,Hyderabad,Telangana,Autumn,24.2,42,17.6,0.18,1006.8,Storm
148,2024-03-30,Jaipur,Rajasthan,Autumn,26.1,80,27.1,4.03,1001.7,Rain
149,2022-02-16,Ahmedabad,Gujarat,Monsoon,27.7,35,23.2,7.04,990.5,Storm
150,2022-04-08,Hyderabad,Telangana,Winter,20.0,65,17.5,0.01,1013.2,Rain
151,2022-10-19,Jaipur,Rajasthan,Monsoon,22.3,91,30.1,6.72,1010.6,Rain
152,2023-06-28,Jaipur,Rajasthan,Summer,33.7,43,34.4,0.94,1002.6,Haze
153,2022-09-09,Pune,Maharashtra,Monsoon,35.4,39,16.4,2.23,997.2,Rain
154,2023-07-29,Delhi,Delhi,Monsoon,27.5,69,20.3,10.35,1007.3,Storm
155,2022-06-13,Lucknow,Uttar Pradesh,Winter,14.3,61,7.0,0.55,1009.9,Rain
156,2024-03-28,Kolkata,West Bengal,Monsoon,26.5,44,22.5,4.37,1010.9,Fog
157,2022-01-13,Ahmedabad,Gujarat,Winter,12.5,48,0.1,3.16,1020.6,Storm
158,2022-02-24,Ahmedabad,Gujarat,Winter,17.7,48,17.5,0.09,1020.1,Cloudy
159,2024-01-13,Jaipur,Rajasthan,Monsoon,24.4,66,34.0,0.64,1005.3,Cloudy
160,2023-02-27,Mumbai,Maharashtra,Summer,33.9,44,22.3,2.54,1010.8,Fog
161,2024-06-18,Kolkata,West Bengal,Summer,28.9,40,17.9,3.57,1004.9,Sunny
162,2024-03-03,Mumbai,Maharashtra,Monsoon,31.2,91,6.3,3.99,1013.6,Storm
163,2022-04-27,Chennai,Tamil Nadu,Monsoon,28.8,39,24.8,6.01,1004.7,Rain
164,2022-11-30,Chennai,Tamil Nadu,Monsoon,23.4,52,12.9,0.61,1009.1,Sunny
165,2023-02-10,Jaipur,Rajasthan,Winter,17.0,78,31.0,0.75,1006.2,Cloudy
166,2022-12-13,Delhi,Delhi,Summer,36.3,70,10.2,0.7,1012.8,Haze
167,2024-05-05,Hyderabad,Telangana,Winter,19.6,69,0.1,1.45,1004.9,Storm
168,2023-09-22,Jaipur,Rajasthan,Summer,33.3,55,26.7,0.21,1004.7,Sunny
169,2023-10-21,Jaipur,Rajasthan,Summer,30.2,63,13.6,0.31,1005.1,Sunny
170,2022-06-29,Mumbai,Maharashtra,Autumn,24.3,49,14.9,0.42,1011.4,Haze
171,2023-12-06,Chennai,Tamil Nadu,Summer,29.6,53,18.1,0.34,1021.9,Haze
172,2023-08-14,Hyderabad,Telangana,Summer,36.0,77,19.2,1.38,1016.0,Sunny
173,2023-07-22,Delhi,Delhi,Winter,7.3,59,12.0,1.58,1007.4,Fog
174,2022-07-31,Chennai,Tamil Nadu,Autumn,25.6,74,8.9,0.32,1016.6,Cloudy
175,2023-05-15,Kolkata,West Bengal,Summer,30.6,65,23.5,0.15,1017.9,Storm
176,2022-07-07,Lucknow,Uttar Pradesh,Summer,31.5,40,18.4,0.08,1001.4,Rain
177,2024-05-06,Chennai,Tamil Nadu,Monsoon,28.7,91,19.0,1.15,997.3,Sunny
178,2023-10-27,Kolkata,West Bengal,Winter,23.5,84,33.9,0.03,1001.4,Sunny
179,2023-01-26,Ahmedabad,Gujarat,Monsoon,27.6,35,16.4,0.95,1004.5,Haze
180,2022-03-23,Lucknow,Uttar Pradesh,Autumn,25.6,35,24.3,1.11,1012.8,Rain
181,2023-06-18,Lucknow,Uttar Pradesh,Monsoon,24.9,55,1.4,0.58,1013.2,Cloudy
182,2022-07-08,Ahmedabad,Gujarat,Summer,39.2,81,21.2,0.72,1014.6,Fog
183,2022-07-28,Pune,Maharashtra,Autumn,27.1,60,30.9,0.56,1002.4,Fog
184,2024-03-18,Kolkata,West Bengal,Autumn,29.1,81,3.0,0.58,1013.5,Storm
185,2023-11-13,Kolkata,West Bengal,Summer,33.5,69,10.1,0.71,1005.2,Cloudy
186,2022-11-14,Mumbai,Maharashtra,Monsoon,29.0,38,6.1,1.82,1006.9,Rain
187,2022-06-24,Chennai,Tamil Nadu,Autumn,26.4,35,24.7,0.03,1014.0,Cloudy
188,2022-03-04,Chennai,Tamil Nadu,Monsoon,23.5,91,23.1,1.2,1007.4,Storm
189,2023-02-07,Bangalore,Karnataka,Monsoon,29.2,64,17.4,0.05,1015.1,Cloudy
190,2023-06-02,Kolkata,West Bengal,Summer,38.9,64,19.0,1.55,1012.7,Fog
191,2023-06-26,Mumbai,Maharashtra,Winter,21.0,89,18.5,3.03,1026.1,Rain
192,2023-07-11,Ahmedabad,Gujarat,Summer,31.2,51,2.8,0.36,1009.1,Cloudy
193,2022-05-24,Delhi,Delhi,Monsoon,27.9,68,13.9,0.24,1017.3,Haze
194,2023-08-02,Pune,Maharashtra,Monsoon,26.7,53,14.5,1.52,1015.1,Storm
195,2023-10-28,Ahmedabad,Gujarat,Monsoon,29.5,75,31.3,1.92,1000.2,Haze
196,2024-04-27,Hyderabad,Telangana,Summer,35.3,75,7.6,0.98,1017.7,Sunny
197,2022-12-03,Jaipur,Rajasthan,Summer,40.6,62,10.4,1.57,1019.9,Haze
198,2022-09-20,Ahmedabad,Gujarat,Autumn,21.9,83,23.1,0.57,1011.1,Rain
199,2023-04-18,Lucknow,Uttar Pradesh,Summer,34.7,35,32.0,0.05,1015.4,Rain
200,2022-03-25,Delhi,Delhi,Summer,32.6,53,3.0,0.06,1015.3,Sunny
201,2022-02-19,Jaipur,Rajasthan,Monsoon,28.7,92,8.2,7.61,1003.0,Sunny
202,2023-05-22,Chennai,Tamil Nadu,Monsoon,30.9,67,15.3,0.22,1012.7,Fog
203,2023-05-19,Pune,Maharashtra,Summer,34.1,92,25.2,2.67,1015.5,Rain
204,2022-10-04,Mumbai,Maharashtra,Monsoon,25.1,76,3.1,13.62,999.8,Cloudy
205,2022-09-06,Chennai,Tamil Nadu,Autumn,28.2,71,10.8,0.64,1014.3,Sunny
206,2024-02-20,Mumbai,Maharashtra,Autumn,31.8,76,12.2,0.14,1005.8,Fog
207,2022-04-14,Pune,Maharashtra,Winter,22.5,44,34.7,0.15,1020.6,Haze
208,2023-05-25,Pune,Maharashtra,Autumn,25.4,70,21.5,1.3,1012.1,Haze
209,2023-05-14,Delhi,Delhi,Summer,35.7,37,16.7,0.03,1018.3,Sunny
210,2022-02-23,Pune,Maharashtra,Autumn,25.1,54,32.7,0.37,1003.9,Cloudy
211,2024-05-03,Mumbai,Maharashtra,Winter,17.5,57,8.2,0.62,1023.8,Haze
212,2022-05-14,Delhi,Delhi,Autumn,25.4,45,25.4,0.4,995.2,Sunny
213,2024-04-11,Lucknow,Uttar Pradesh,Winter,20.8,66,15.4,1.75,1003.7,Sunny
214,2023-04-22,Bangalore,Karnataka,Summer,37.9,45,17.2,2.06,1010.5,Storm
215,2022-03-24,Hyderabad,Telangana,Winter,24.1,56,28.7,0.67,1002.1,Cloudy
216,2023-09-17,Hyderabad,Telangana,Monsoon,29.2,45,4.4,2.57,1007.6,Haze
217,2024-04-07,Delhi,Delhi,Winter,23.0,85,29.4,0.46,1012.7,Storm
218,2022-09-25,Kolkata,West Bengal,Monsoon,24.1,52,5.3,7.83,1012.7,Fog
219,2023-12-03,Ahmedabad,Gujarat,Autumn,22.1,62,14.4,2.15,1010.5,Rain
220,2023-10-30,Delhi,Delhi,Autumn,22.5,38,29.3,2.95,1022.6,Rain
221,2022-08-16,Pune,Maharashtra,Autumn,23.5,81,15.3,0.12,993.9,Fog
222,2024-05-01,Ahmedabad,Gujarat,Monsoon,23.3,51,22.3,4.52,1006.3,Fog
223,2023-04-09,Jaipur,Rajasthan,Summer,36.3,91,7.1,0.7,1003.2,Storm
224,2022-10-28,Lucknow,Uttar Pradesh,Monsoon,28.2,39,1.7,0.61,1009.7,Sunny
225,2022-05-06,Pune,Maharashtra,Winter,13.7,70,31.4,2.06,997.3,Fog
226,2024-03-11,Kolkata,West Bengal,Summer,31.7,88,17.4,0.45,1007.5,Cloudy
227,2022-08-09,Jaipur,Rajasthan,Autumn,26.0,48,7.0,0.6,1008.1,Rain
228,2024-04-24,Delhi,Delhi,Autumn,27.6,52,20.7,0.28,1003.0,Fog
229,2022-06-08,Lucknow,Uttar Pradesh,Summer,28.4,40,10.2,3.98,1017.9,Storm
230,2024-01-21,Pune,Maharashtra,Autumn,23.7,80,34.0,0.22,1015.8,Sunny
231,2023-07-06,Ahmedabad,Gujarat,Autumn,24.9,78,0.0,0.83,1006.4,Storm
232,2023-10-03,Ahmedabad,Gujarat,Summer,40.2,87,31.1,2.87,1017.3,Storm
233,2022-09-10,Bangalore,Karnataka,Summer,31.2,37,29.5,4.05,1011.1,Storm
234,2024-02-15,Bangalore,Karnataka,Winter,8.2,73,19.1,1.7,1002.1,Haze
235,2024-05-22,Mumbai,Maharashtra,Summer,39.4,50,2.2,0.15,1013.0,Rain
236,2024-02-14,Chennai,Tamil Nadu,Monsoon,29.4,78,6.4,11.91,1010.8,Cloudy
237,2024-05-28,Pune,Maharashtra,Winter,12.0,53,14.1,0.15,1021.4,Fog
238,2024-05-15,Pune,Maharashtra,Autumn,24.0,47,32.4,1.17,1011.8,Haze
239,2024-06-13,Ahmedabad,Gujarat,Winter,18.4,78,24.5,2.67,991.2,Rain
240,2023-11-01,Mumbai,Maharashtra,Autumn,27.2,43,2.5,3.85,1015.4,Fog
241,2024-02-27,Lucknow,Uttar Pradesh,Winter,15.0,43,7.4,0.7,1024.2,Storm
242,2023-08-06,Jaipur,Rajasthan,Monsoon,28.5,52,11.9,3.25,1015.8,Haze
243,2023-05-31,Delhi,Delhi,Monsoon,32.3,88,23.7,4.65,1017.8,Storm
244,2022-02-12,Delhi,Delhi,Summer,34.0,69,32.8,0.91,1005.6,Cloudy
245,2022-12-31,Kolkata,West Bengal,Autumn,30.9,72,5.5,0.03,1007.2,Rain
246,2022-01-23,Chennai,Tamil Nadu,Autumn,30.7,71,18.7,1.53,1011.4,Cloudy
247,2022-02-22,Bangalore,Karnataka,Winter,20.8,40,26.6,0.71,1011.4,Cloudy
248,2023-03-14,Mumbai,Maharashtra,Monsoon,29.6,67,26.7,3.96,1019.9,Cloudy
249,2023-07-21,Bangalore,Karnataka,Monsoon,26.3,52,2.6,0.06,1015.8,Storm
250,2024-05-02,Hyderabad,Telangana,Monsoon,26.0,41,24.0,2.67,1005.3,Haze
251,2024-01-17,Kolkata,West Bengal,Monsoon,27.8,82,31.9,5.17,997.1,Fog
252,2023-12-01,Kolkata,West Bengal,Autumn,29.5,65,27.0,0.4,1017.5,Cloudy
253,2024-05-23,Pune,Maharashtra,Autumn,25.5,83,31.1,0.73,1023.2,Fog
254,2024-03-26,Lucknow,Uttar Pradesh,Monsoon,30.5,55,21.2,18.59,997.3,Fog
255,2022-01-03,Ahmedabad,Gujarat,Autumn,28.0,74,6.5,0.75,1020.6,Fog
256,2022-12-17,Kolkata,West Bengal,Summer,33.4,62,6.2,1.97,1011.4,Sunny
257,2022-12-27,Ahmedabad,Gujarat,Autumn,20.4,93,10.9,0.06,1010.0,Haze
258,2023-10-02,Bangalore,Karnataka,Autumn,22.9,35,17.6,1.03,1013.8,Sunny
259,2022-07-10,Hyderabad,Telangana,Summer,27.7,49,29.5,2.21,996.0,Storm
260,2022-03-13,Mumbai,Maharashtra,Winter,17.3,72,7.9,3.55,1014.1,Cloudy
261,2023-04-20,Hyderabad,Telangana,Summer,42.7,69,32.3,0.17,1002.8,Fog
262,2022-05-02,Delhi,Delhi,Summer,28.2,35,12.1,0.17,1000.8,Storm
263,2022-10-01,Hyderabad,Telangana,Autumn,27.1,76,20.1,2.07,1001.2,Haze
264,2023-11-03,Delhi,Delhi,Summer,20.8,47,18.1,1.99,1000.3,Fog
265,2024-01-05,Lucknow,Uttar Pradesh,Monsoon,28.0,57,9.0,1.79,1008.0,Fog
266,2023-03-20,Jaipur,Rajasthan,Autumn,22.9,65,17.3,0.31,1003.5,Storm
267,2023-04-08,Bangalore,Karnataka,Autumn,32.9,56,12.0,0.34,1009.5,Storm
268,2022-09-16,Mumbai,Maharashtra,Monsoon,25.0,57,33.8,5.25,1003.4,Cloudy
269,2022-06-06,Kolkata,West Bengal,Summer,36.2,70,34.2,1.17,1009.9,Fog
270,2022-08-25,Delhi,Delhi,Winter,19.8,59,32.2,2.48,1003.1,Haze
271,2023-04-15,Hyderabad,Telangana,Autumn,16.5,63,0.5,2.78,1005.4,Rain
272,2022-09-19,Chennai,Tamil Nadu,Autumn,28.3,55,3.2,0.38,1002.4,Storm
273,2023-10-31,Kolkata,West Bengal,Winter,16.3,71,22.1,0.51,1014.3,Storm
274,2023-09-01,Hyderabad,Telangana,Autumn,32.7,74,29.4,0.1,1006.2,Sunny
275,2022-08-27,Chennai,Tamil Nadu,Autumn,20.3,72,2.4,0.44,1013.9,Rain
276,2023-07-08,Delhi,Delhi,Winter,13.4,46,11.9,0.4,1005.6,Cloudy
277,2022-08-29,Mumbai,Maharashtra,Autumn,23.8,90,31.3,1.3,1012.5,Sunny
278,2022-02-22,Chennai,Tamil Nadu,Winter,16.0,52,12.9,0.1,1016.2,Rain
